,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing,DataType
id,887379.0,,,,32465133.05502384,22827341.721266154,54734.0,9206643.0,34433267.0,54908135.0,68617057.0,0,int64
member_id,887379.0,,,,35001824.81556246,24113354.675557025,70473.0,10877133.5,37095283.0,58471347.0,73544841.0,0,int64
loan_amnt,887379.0,,,,14755.26460508982,8435.45560127661,500.0,8000.0,13000.0,20000.0,35000.0,0,float64
funded_amnt,887379.0,,,,14741.877625005776,8429.897656773783,500.0,8000.0,13000.0,20000.0,35000.0,0,float64
funded_amnt_inv,887379.0,,,,14702.46438322972,8442.10673156914,0.0,8000.0,13000.0,20000.0,35000.0,0,float64
term,887379,2, 36 months,621125,,,,,,,,0,object
int_rate,887379.0,,,,13.246739679476775,4.381867414721592,5.32,9.99,12.99,16.2,28.99,0,float64
installment,887379.0,,,,436.7171273605995,244.18659347642748,15.67,260.705,382.55,572.6,1445.46,0,float64
grade,887379,7,B,254535,,,,,,,,0,object
sub_grade,887379,35,B3,56323,,,,,,,,0,object
emp_title,835917,299271,Teacher,13469,,,,,,,,51462,object
emp_length,842554,11,10+ years,291569,,,,,,,,44825,object
home_ownership,887379,6,MORTGAGE,443557,,,,,,,,0,object
annual_inc,887375.0,,,,75027.58776076681,64698.300142400134,0.0,45000.0,65000.0,90000.0,9500000.0,4,float64
verification_status,887379,3,Source Verified,329558,,,,,,,,0,object
issue_d,887379,103,Oct-2015,48631,,,,,,,,0,object
loan_status,887379,10,Current,601779,,,,,,,,0,object
pymnt_plan,887379,2,n,887369,,,,,,,,0,object
url,887379,887379,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077501,1,,,,,,,,0,object
desc,126028,124469, ,246,,,,,,,,761351,object
purpose,887379,14,debt_consolidation,524215,,,,,,,,0,object
title,887227,63144,Debt consolidation,414001,,,,,,,,152,object
zip_code,887379,935,945xx,9770,,,,,,,,0,object
addr_state,887379,51,CA,129517,,,,,,,,0,object
dti,887379.0,,,,18.157038739929448,17.190625687940734,0.0,11.91,17.65,23.95,9999.0,0,float64
delinq_2yrs,887350.0,,,,0.31444187750042263,0.8622438401996544,0.0,0.0,0.0,0.0,39.0,29,float64
earliest_cr_line,887350,697,Aug-2001,6659,,,,,,,,29,object
inq_last_6mths,887350.0,,,,0.694623316616893,0.9984476849597588,0.0,0.0,0.0,1.0,33.0,29,float64
mths_since_last_delinq,433067.0,,,,34.06379844227337,21.884940226387453,0.0,15.0,31.0,50.0,188.0,454312,float64
mths_since_last_record,137053.0,,,,70.1179032928867,28.127913567245205,0.0,51.0,70.0,92.0,129.0,750326,float64
open_acc,887350.0,,,,11.548469037020341,5.317313124511925,0.0,8.0,11.0,14.0,90.0,29,float64
pub_rec,887350.0,,,,0.19530737589451738,0.5820906692569477,0.0,0.0,0.0,0.0,86.0,29,float64
revol_bal,887379.0,,,,16920.78753272277,22426.791895963146,0.0,6443.0,11875.0,20829.0,2904836.0,0,float64
revol_util,886877.0,,,,55.0676932314199,23.83434410338145,0.0,37.7,56.0,73.6,892.3,502,float64
total_acc,887350.0,,,,25.26802614526399,11.84056106253787,1.0,17.0,24.0,32.0,169.0,29,float64
initial_list_status,887379,2,f,456848,,,,,,,,0,object
out_prncp,887379.0,,,,8403.124851906841,8493.450268733199,0.0,0.0,6458.29,13659.055,49372.86,0,float64
out_prncp_inv,887379.0,,,,8399.71324213247,8489.997616504874,0.0,0.0,6455.81,13654.05,49372.86,0,float64
total_pymnt,887379.0,,,,7558.826683641992,7871.243335699199,0.0,1914.59,4894.99911726,10616.81423095,57777.5798702,0,float64
total_pymnt_inv,887379.0,,,,7521.160306147574,7846.108603579174,0.0,1899.7,4862.01,10565.689999999999,57777.58,0,float64
total_rec_prncp,887379.0,,,,5757.70642362491,6625.441045704919,0.0,1200.57,3215.32,8000.0,35000.03,0,float64
total_rec_int,887379.0,,,,1754.8043266406958,2095.3560992354974,0.0,441.46,1073.28,2238.2650000000003,24205.62,0,float64
